"city","year","weekofyear","total_cases"
"sj",2008,18,11
"sj",2008,19,9
"sj",2008,20,10
"sj",2008,21,10
"sj",2008,22,10
"sj",2008,23,10
"sj",2008,24,10
"sj",2008,25,10
"sj",2008,26,10
"sj",2008,27,10
"sj",2008,28,10
"sj",2008,29,10
"sj",2008,30,10
"sj",2008,31,10
"sj",2008,32,10
"sj",2008,33,10
"sj",2008,34,10
"sj",2008,35,10
"sj",2008,36,10
"sj",2008,37,10
"sj",2008,38,10
"sj",2008,39,10
"sj",2008,40,10
"sj",2008,41,10
"sj",2008,42,10
"sj",2008,43,10
"sj",2008,44,10
"sj",2008,45,10
"sj",2008,46,10
"sj",2008,47,10
"sj",2008,48,10
"sj",2008,49,10
"sj",2008,50,10
"sj",2008,51,10
"sj",2008,52,10
"sj",2009,1,10
"sj",2009,2,10
"sj",2009,3,10
"sj",2009,4,10
"sj",2009,5,10
"sj",2009,6,10
"sj",2009,7,10
"sj",2009,8,10
"sj",2009,9,10
"sj",2009,10,10
"sj",2009,11,10
"sj",2009,12,10
"sj",2009,13,10
"sj",2009,14,10
"sj",2009,15,10
"sj",2009,16,10
"sj",2009,17,10
"sj",2009,18,10
"sj",2009,19,10
"sj",2009,20,10
"sj",2009,21,10
"sj",2009,22,10
"sj",2009,23,10
"sj",2009,24,10
"sj",2009,25,10
"sj",2009,26,10
"sj",2009,27,10
"sj",2009,28,10
"sj",2009,29,10
"sj",2009,30,10
"sj",2009,31,10
"sj",2009,32,10
"sj",2009,33,10
"sj",2009,34,10
"sj",2009,35,10
"sj",2009,36,10
"sj",2009,37,10
"sj",2009,38,10
"sj",2009,39,10
"sj",2009,40,10
"sj",2009,41,10
"sj",2009,42,10
"sj",2009,43,10
"sj",2009,44,10
"sj",2009,45,10
"sj",2009,46,10
"sj",2009,47,10
"sj",2009,48,10
"sj",2009,49,10
"sj",2009,50,10
"sj",2009,51,10
"sj",2009,52,10
"sj",2010,53,10
"sj",2010,1,10
"sj",2010,2,10
"sj",2010,3,10
"sj",2010,4,10
"sj",2010,5,10
"sj",2010,6,10
"sj",2010,7,10
"sj",2010,8,10
"sj",2010,9,10
"sj",2010,10,10
"sj",2010,11,10
"sj",2010,12,10
"sj",2010,13,10
"sj",2010,14,10
"sj",2010,15,10
"sj",2010,16,10
"sj",2010,17,10
"sj",2010,18,10
"sj",2010,19,10
"sj",2010,20,10
"sj",2010,21,10
"sj",2010,22,10
"sj",2010,23,10
"sj",2010,24,10
"sj",2010,25,10
"sj",2010,26,10
"sj",2010,27,10
"sj",2010,28,10
"sj",2010,29,10
"sj",2010,30,10
"sj",2010,31,10
"sj",2010,32,10
"sj",2010,33,10
"sj",2010,34,10
"sj",2010,35,10
"sj",2010,36,10
"sj",2010,37,10
"sj",2010,38,10
"sj",2010,39,10
"sj",2010,40,10
"sj",2010,41,10
"sj",2010,42,10
"sj",2010,43,10
"sj",2010,44,10
"sj",2010,45,10
"sj",2010,46,10
"sj",2010,47,10
"sj",2010,48,10
"sj",2010,49,10
"sj",2010,50,10
"sj",2010,51,10
"sj",2011,52,10
"sj",2011,1,10
"sj",2011,2,10
"sj",2011,3,10
"sj",2011,4,10
"sj",2011,5,10
"sj",2011,6,10
"sj",2011,7,10
"sj",2011,8,10
"sj",2011,9,10
"sj",2011,10,10
"sj",2011,11,10
"sj",2011,12,10
"sj",2011,13,10
"sj",2011,14,10
"sj",2011,15,10
"sj",2011,16,10
"sj",2011,17,10
"sj",2011,18,10
"sj",2011,19,10
"sj",2011,20,10
"sj",2011,21,10
"sj",2011,22,10
"sj",2011,23,10
"sj",2011,24,10
"sj",2011,25,10
"sj",2011,26,10
"sj",2011,27,10
"sj",2011,28,10
"sj",2011,29,10
"sj",2011,30,10
"sj",2011,31,10
"sj",2011,32,10
"sj",2011,33,10
"sj",2011,34,10
"sj",2011,35,10
"sj",2011,36,10
"sj",2011,37,10
"sj",2011,38,10
"sj",2011,39,10
"sj",2011,40,10
"sj",2011,41,10
"sj",2011,42,10
"sj",2011,43,10
"sj",2011,44,10
"sj",2011,45,10
"sj",2011,46,10
"sj",2011,47,10
"sj",2011,48,10
"sj",2011,49,10
"sj",2011,50,10
"sj",2011,51,10
"sj",2012,52,10
"sj",2012,1,10
"sj",2012,2,10
"sj",2012,3,10
"sj",2012,4,10
"sj",2012,5,10
"sj",2012,6,10
"sj",2012,7,10
"sj",2012,8,10
"sj",2012,9,10
"sj",2012,10,10
"sj",2012,11,10
"sj",2012,12,10
"sj",2012,13,10
"sj",2012,14,10
"sj",2012,15,10
"sj",2012,16,10
"sj",2012,17,10
"sj",2012,18,10
"sj",2012,19,10
"sj",2012,20,10
"sj",2012,21,10
"sj",2012,22,10
"sj",2012,23,10
"sj",2012,24,10
"sj",2012,25,10
"sj",2012,26,10
"sj",2012,27,10
"sj",2012,28,10
"sj",2012,29,10
"sj",2012,30,10
"sj",2012,31,10
"sj",2012,32,10
"sj",2012,33,10
